month,hour,segment,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,mean_abs_rt_actual,mean_abs_rt_error,mean_abs_delta,sign_error_rate,diagnosis_tag
2025-01,17,17_24,31,20.7196912597093,8.91991199005427,29.388787407319416,29.38878740731941,351.98419354838705,29.388787407319416,47.8616129032258,0.12903225806451613,month-hour seasonal concentration
2025-01,18,17_24,31,10.703818800497647,7.036215785627401,19.734149992594865,19.73414999259487,372.2977419354839,19.734149992594865,38.328709677419354,0.25806451612903225,month-hour seasonal concentration
2025-01,19,17_24,31,12.830079119976682,5.035901416298768,16.65747697015913,16.657476970159127,370.30612903225807,16.65747697015913,33.3658064516129,0.06451612903225806,month-hour seasonal concentration
2025-01,20,17_24,31,4.432349634161559,3.6000034626966384,12.700924968772863,12.700924968772851,365.42096774193544,12.700924968772863,34.556129032258056,0.0967741935483871,month-hour seasonal concentration
2025-01,21,17_24,31,7.257131298038926,2.016715536786956,9.492346435443809,9.492346435443805,362.98967741935485,9.492346435443809,34.88,0.03225806451612903,month-hour seasonal concentration
2025-01,22,17_24,31,3.3593992865327675,3.051144237791665,9.005379050797762,9.00537905079777,354.2148387096774,9.005379050797762,32.48064516129033,0.12903225806451613,month-hour seasonal concentration
2025-01,23,17_24,31,14.575385834664136,9.048820749417473,24.803045102511422,24.80304510251143,327.4780645161291,24.803045102511422,45.69451612903226,0.16129032258064516,month-hour seasonal concentration
2025-01,24,17_24,31,20.551096313926475,8.97979653753932,24.871030100348506,24.871030100348516,297.66322580645163,24.871030100348506,52.538387096774194,0.0967741935483871,month-hour seasonal concentration
2025-01,1,1_8,31,17.97682869400024,13.901843045917165,36.58914078812462,36.589140788124624,292.0374193548388,36.58914078812462,53.854193548387094,0.2903225806451613,sign error
2025-01,2,1_8,31,20.25282490061332,10.753092924356967,26.26949399712411,26.269493997124112,260.05870967741936,26.26949399712411,39.11290322580644,0.06451612903225806,month-hour seasonal concentration
2025-01,3,1_8,31,14.404158140040542,7.446356867370726,18.294355695522672,18.29435569552266,262.6548387096774,18.294355695522672,35.826129032258066,0.2903225806451613,sign error
2025-01,4,1_8,31,10.845599348113748,10.739511134271526,20.732273414554466,20.732273414554463,266.2038709677419,20.732273414554466,34.43419354838711,0.25806451612903225,month-hour seasonal concentration
2025-01,5,1_8,31,7.4862247678020815,7.4862247678020815,14.825213082993042,14.825213082993049,277.4893548387097,14.825213082993042,25.51354838709677,0.06451612903225806,month-hour seasonal concentration
2025-01,6,1_8,31,13.215157344403758,8.971446001915819,19.643956978098654,19.643956978098664,265.29806451612905,19.643956978098654,28.555161290322573,0.16129032258064516,month-hour seasonal concentration
2025-01,7,1_8,31,25.898765182021315,10.407697234175336,22.26259705164259,22.26259705164259,263.00967741935483,22.26259705164259,37.60451612903225,0.0967741935483871,month-hour seasonal concentration
2025-01,8,1_8,31,11.275616012271307,7.72022480934788,24.747761834457666,24.747761834457666,360.84612903225803,24.747761834457666,31.88451612903226,0.16129032258064516,month-hour seasonal concentration
2025-01,9,9_16,31,13.669648868977404,6.968793929561427,25.282791542418835,25.282791542418845,343.7864516129032,25.282791542418835,28.8141935483871,0.2903225806451613,sign error
2025-01,10,9_16,31,34.0750978289831,22.05910963441628,54.97718812869715,54.97718812869715,233.45741935483872,54.97718812869715,62.464193548387094,0.45161290322580644,sign error
2025-01,11,9_16,31,44.37435281557637,20.857816003163496,55.35435993988416,55.35435993988416,185.7948387096774,55.35435993988416,99.16645161290323,0.2903225806451613,sign error
2025-01,12,9_16,31,49.59176480775135,22.7437356510727,50.52771365030251,50.52771365030251,149.90870967741935,50.52771365030251,103.81290322580648,0.22580645161290322,month-hour seasonal concentration
2025-01,13,9_16,31,49.59558918827737,14.926430030015089,37.9035985535018,37.9035985535018,126.64709677419356,37.9035985535018,99.23354838709676,0.12903225806451613,month-hour seasonal concentration
2025-01,14,9_16,31,72.86234842867268,16.14316861809709,55.734503599294335,55.734503599294335,138.39612903225805,55.734503599294335,95.01258064516126,0.22580645161290322,low-price denominator sensitivity
2025-01,15,9_16,31,60.43511536798296,18.236847930969482,42.17153062690208,42.17153062690208,158.83709677419355,42.17153062690208,92.43838709677418,0.25806451612903225,month-hour seasonal concentration
2025-01,16,9_16,31,21.137935244240637,10.958343738856817,31.892391411412923,31.89239141141292,287.6341935483871,31.892391411412923,58.74580645161291,0.0967741935483871,month-hour seasonal concentration
2025-02,17,17_24,28,16.080989249659172,16.080989249659172,49.56935773450532,49.56935773450531,342.40857142857146,49.56935773450532,62.823928571428574,0.39285714285714285,sign error
2025-02,18,17_24,28,6.269881376974178,6.269881376974178,32.082144327026036,32.082144327026036,465.7192857142857,32.082144327026036,53.73964285714287,0.25,month-hour seasonal concentration
2025-02,19,17_24,28,8.440907266360366,8.440907266360366,36.1388371231943,36.138837123194286,465.5932142857142,36.1388371231943,42.32678571428571,0.21428571428571427,month-hour seasonal concentration
2025-02,20,17_24,28,4.692487801829776,4.692487801829776,21.474780039442567,21.47478003944256,446.2417857142858,21.474780039442567,46.36678571428571,0.21428571428571427,month-hour seasonal concentration
2025-02,21,17_24,28,4.01158268292061,4.01158268292061,17.687209527314398,17.68720952731441,443.80321428571443,17.687209527314398,46.363214285714285,0.10714285714285714,month-hour seasonal concentration
2025-02,22,17_24,28,8.045649308990903,8.045649308990903,25.641418438379905,25.641418438379905,420.57499999999993,25.641418438379905,52.17142857142858,0.07142857142857142,month-hour seasonal concentration
2025-02,23,17_24,28,12.163236962635114,11.99088622661555,31.24173406022687,31.24173406022687,374.64285714285705,31.24173406022687,47.365714285714276,0.2857142857142857,sign error
2025-02,24,17_24,28,19.996111567319673,8.536676370697093,23.76543832911795,23.765438329117956,354.1828571428572,23.76543832911795,43.269285714285715,0.14285714285714285,month-hour seasonal concentration
