date,status,submission_ready_exists,submission_ready_rows,errors_count,warnings_count,manifest_path,submission_ready_path
2026-02-24,complete,True,24,0,0,outputs\_validation_tmp_20260628_165754\runs\2026-02-24\run_manifest.json,outputs\_validation_tmp_20260628_165754\runs\2026-02-24\final\submission_ready.csv
2026-02-25,complete,True,24,0,0,outputs\_validation_tmp_20260628_165754\runs\2026-02-25\run_manifest.json,outputs\_validation_tmp_20260628_165754\runs\2026-02-25\final\submission_ready.csv
2026-02-26,complete,True,24,0,0,outputs\_validation_tmp_20260628_165754\runs\2026-02-26\run_manifest.json,outputs\_validation_tmp_20260628_165754\runs\2026-02-26\final\submission_ready.csv
