month,segment_name,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,target_met_for_9_16_if_applicable,interval_coverage,spike_recall_topk,spike_average_precision
2025-01,9_16,248,43.217731568807736,16.611780692019046,44.23050968155172,44.23050968155172,True,0.8763440860215054,0.7307692307692307,0.6554245049143831
2025-02,9_16,224,33.324578511920826,13.326770897601143,35.256081220023425,35.256081220023425,True,0.7991071428571429,0.675,0.5406642761216293
2025-03,9_16,248,31.370542607591364,13.33094979733477,41.61945964493046,41.61945964493046,True,0.7419354838709677,0.5571428571428572,0.5331060247813187
2025-04,9_16,240,24.29507698573515,8.55000517335981,26.00852860974633,26.00852860974633,True,0.7277777777777777,0.6976744186046512,0.6261649557849894
2025-05,9_16,248,40.94580242665772,12.53325162748719,37.350390410347366,37.350390410347366,True,0.7029569892473119,0.6170212765957447,0.4449196953265414
2025-06,9_16,240,49.25538304740152,14.845530841566866,43.17725018677368,43.17725018677368,True,0.7833333333333333,0.7592592592592593,0.6450873249597237
2025-07,9_16,248,40.207036203659605,20.432256577123965,37.20597866745637,37.20597866745638,True,0.8091397849462365,0.8,0.6754770791010453
2025-08,9_16,248,21.17400259747198,12.044168316254972,28.83393813487776,28.83393813487776,True,0.7876344086021505,0.8679245283018868,0.8428133865994738
2025-09,9_16,240,32.88663718986074,15.349372456168576,49.21813601542613,49.218136015426126,True,0.7236111111111111,0.75,0.7197888111068604
2025-10,9_16,248,22.181337622644502,16.38148639525396,59.0614830042425,59.06148300424249,True,0.7163978494623656,0.5533980582524272,0.7736560839938367
2025-11,9_16,240,47.34603818755419,16.50132151344842,52.95419086688869,52.95419086688869,True,0.7986111111111112,0.6666666666666666,0.4992760428201545
2025-12,9_16,248,49.89172161064533,25.714153052159347,65.1191772175696,65.1191772175696,True,0.8293010752688172,0.6024096385542169,0.7115289483087884
