experiment_id,branch,variant,changed_factor,artifact_path,scope,full_year_rt_capped_smape,full_year_9_16_rt_capped_smape,risk_hour_avg_capped_smape,worst_month_9_16_capped_smape,raw_rt_smape,raw_9_16_rt_smape,decision,reason,comparable_to_landing
SGDFNet_V2_J3_TF1_20260605_164407,V2_J3_time_frequency,TF1_moving_average_residual_features,TF1 moving-average residual features,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_J3_TF1_20260605_164407,full 2025 Protocol B,10.843562843939626,15.298323635483852,,25.717663530368423,20.937991535532365,36.663156705634265,REJECT,overall_delta=-0.0632; seg916_delta=-0.2059; worst_month_gain=-0.0035; hour15_gain=0.2431; avg141511_gain=0.1812; top10_gain=0.4655,true
SGDFNet_V2_B1_RHB1_HourBias_20260605_170856,risk_hour_bias,RHB1_hour_bias,hour bias calibration on risk hours 9/10/15,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_B1_RHB1_HourBias_20260605_170856,full 2025 Protocol B,10.930287247130297,15.574812416344695,19.188195794443587,,20.80491947470947,36.60422376047461,REJECT,overall_delta=0.0235; seg916_delta=0.0706; risk_avg_gain=-0.1011; hour9_gain=-0.0370; hour10_gain=0.0287; hour15_gain=-0.2950; worst_month_gain=-0.0286; normal_hour_harm=0.0125,true
SGDFNet_V2_B1_RHB1_SegmentHourBias_20260605_170920,risk_hour_bias,RHB1_segment_hour_bias,segment-hour bias calibration on 9_16 risk hours 9/10/11/14/15,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_B1_RHB1_SegmentHourBias_20260605_170920,full 2025 Protocol B,10.944251748796349,15.616705921342849,19.188195794443587,,20.85446627220351,36.84524337125452,REJECT,overall_delta=0.0375; seg916_delta=0.1125; risk_avg_gain=-0.1011; hour9_gain=-0.0370; hour10_gain=0.0287; hour15_gain=-0.2950; worst_month_gain=0.0542; normal_hour_harm=0.0284,true
SGDFNet_V2_B2_G1_StaticGraph_20260605_172539,feature_group_graph,G1_static_graph,static feature-group graph features,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_B2_G1_StaticGraph_20260605_172539,full 2025 Protocol B,10.878052327548035,15.388258448834636,18.90771215702164,,20.99156950002616,37.013328237104254,REJECT,overall_delta=-0.0287; seg916_delta=-0.1159; risk_avg_gain=0.1794; hour9_gain=0.0564; hour10_gain=0.2177; hour15_gain=0.2641; worst_month_gain=-0.3012; top10_gain=-0.0635; normal_hour_harm=-0.0072,true
SGDFNet_V2_B3_H1_ErrorGateBias_20260605_172845,hard_regime_correction,H1_error_gate_bias,validation residual error-gate bias correction,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_B3_H1_ErrorGateBias_20260605_172845,full 2025 Protocol B,12.093277817807731,17.10839224426859,21.05197006232967,,22.15089984229357,39.439661862653935,REJECT,overall_delta=1.1865; seg916_delta=1.6042; risk_avg_gain=-1.9649; hour9_gain=-1.0322; hour10_gain=-1.9925; hour15_gain=-2.8699; worst_month_gain=-2.0191; top10_gain=-0.5047; normal_hour_harm=1.0753,true
SGDFNet_V2_B3_H2_ComboErrorSignGateBias_20260605_172915,hard_regime_correction,H2_combo_error_sign_gate_bias,validation residual error-sign combo gate bias correction,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_B3_H2_ComboErrorSignGateBias_20260605_172915,full 2025 Protocol B,12.42500741875956,17.536844721467354,21.514382442086056,,22.61895075670902,40.730294202754266,REJECT,overall_delta=1.5183; seg916_delta=2.0327; risk_avg_gain=-2.4273; hour9_gain=-2.0015; hour10_gain=-2.0179; hour15_gain=-3.2625; worst_month_gain=-2.3316; top10_gain=4.6380; normal_hour_harm=1.3884,true
SGDFNet_V2_B4_P1_QuantileInterval_20260605_173936,interval_probability,P1_quantile_interval,quantile interval head on frozen baseline feature family,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_V2_B4_P1_QuantileInterval_20260605_173936,full 2025 Protocol B for point metrics; full 2025 Protocol B uncertainty diagnostics,10.906743313696468,15.504180616043215,19.087101953299232,,20.79251599092717,36.343056642225086,KEEP,overall_delta=0.0000; seg916_delta=0.0000; coverage=0.7747; interval_width=98.9883; spike_recall_topk=0.6898; spike_average_precision=0.6390; interval_brier_proxy=0.0425; normal_hour_harm=0.0000,true
ffam_002,fusion_tuning,signed_tail_point_plus_interval_tailflag_fusion,signed-tail point plus interval tail-flag fusion bundle,outputs\RT916_SpikeMarketLab\experiments\SGDFNet_PromotionValidation_202604_FusionBundle_V1_20260605_201409,2026-04 promotion validation single-month scope,12.500682342932146,16.243557451904437,,,26.73964557533788,,KEEP,2026-04 fresh-window promotion validation only; not a full 2025 Protocol B replacement comparison,false
